URL,Page,Preferred,Mall,Product Name,Main Category,Sub Category 1,Sub Category 2,Sub Category 3,Sub Category 4,Current Rating,Total Rating,Total Sold,Favorite,Discount Range,Price Range,Discount Percentage,Free Shipping,Free Shipping Info,Shipping Location,Shipping Price Range,Brand Name,Store Name,Store Ratings,Store Products Count,Store Response Rate,Store Response Time,Store Joined,Store Followers,Shipping From,Vouchers Available,Bundle Details,Coins Available,Product Variation List,Lowest Price Guarantee,Whole Sale,Five Star,Four Star,Three Star,Two Star,One Star,With Comments,With Media,Description
https://shopee.ph/(COD)-9-Colors-TWS-Bluetooth-Earphone-i12-inPodTouch-Airpod-Key-Wireless-Headphone-Earbuds-Sports-Headsets-For-iPhone-Xiaomi-Smart-Phone-Android-Phone-No-Retail-Box-i.270420997.7041749586,0,FALSE,FALSE,(COD) 9 Colors TWS Bluetooth Earphone i12 inPodTouch Airpod Key Wireless Headphone Earbuds Sports Headsets For iPhone Xiaomi Smart Phone Android Phone No Retail Box,Mobiles & Gadgets,Portable Audio,Earphones,,,4.7,56.8K,187.9K,Favorite (30.8K),₱999,₱176,82% OFF,FALSE,,"Metro Manila, Metro Manila",₱0,No Brand,airpod123.ph,79.2K,238,91%,within hours,5 months ago,115.3K,1069976,TRUE,FALSE,FALSE,"White,Pink,Blue,Green,Yellow,Black,Gray,Dark Blue,Red",TRUE,TRUE,5 Star (47.9K),4 Star (4.6K),3 Star (2.4K),2 Star (732),1 Star (1.2K),With Comments (17.1K),With Media (10.6K),"Note：No Paper Retail box ! 【Product】: inPods 12⭐【Color】: 9 colors (white/pink/green/blue/black/yellow/gray/dark blue/red⭐【Specifications】: Wireless Bluetooth Headset⭐【Wear】: Use in-ear⭐【Working time】: 2~3 hours⭐【Applicable models】: Bluetooth device / cellphone                    Feature▷▶ Automatic pairing.▷▶HIFI sound quality, super high enjoyment▷▶ The power capacity will be displayed on your iPhone. The battery display is just a design that mimics Original Airpods. The numbers can only be used as a reference. It is not accurate.[Product List]:2* Bluetooth headset (left and right)1* charger box1* Lightning charger cable1* instruction manual✅If there is a problem with product quality, Please contact us as soon as you receive the package. We will do our best to solve problems for our customers.❌A negative review will not help solve the problem!"
https://shopee.ph/i12-TWS-Mini-Wireless-Bluetooth-Inpod-Airpod-Earphone-Stereo-Earbud-Sport-Headset-with-Mic-For-Iphone-Android-i.203167495.5943211722,0,TRUE,FALSE,i12 TWS Mini Wireless Bluetooth Inpod Airpod Earphone Stereo Earbud Sport Headset with Mic For Iphone Android,Mobiles & Gadgets,Portable Audio,Earphones,,,4.7,11.5K,35.9K,Favorite (8.2K),"₱1,199",₱186,84% OFF,FALSE,,"Metro Manila, Metro Manila",₱0,No Brand,microdrive1.ph,46K,215,91%,within hours,11 months ago,55.6K,417490,TRUE,FALSE,FALSE,"White,Black,Pink,Blue,Green,Dark Blue,Grey,Yellow,Red",FALSE,FALSE,5 Star (9.8K),4 Star (892),3 Star (437),2 Star (143),1 Star (190),With Comments (3.5K),With Media (2.2K),"Note：No Paper Retail box ! 【Product】: inPods 12⭐【Color】: 9 colors (white/pink/green/blue/black/yellow/gray/dark blue/red⭐【Specifications】: Wireless Bluetooth Headset⭐【Wear】: Use in-ear⭐【Working time】: 2~3 hours⭐【Applicable models】: Bluetooth device / cellphone                    Feature▷▶ Automatic pairing.▷▶HIFI sound quality, super high enjoyment▷▶ The power capacity will be displayed on your iPhone. The battery display is just a design that mimics Original Airpods. The numbers can only be used as a reference. It is not accurate.[Product List]:2* Bluetooth headset (left and right)1* charger box1* Lightning charger cable1* instruction manual✅If there is a problem with product quality, Please contact us as soon as you receive the package. We will do our best to solve problems for our customers.❌A negative review will not help solve the problem!"
https://shopee.ph/YS-HS330-SAMSUNG-S5830-Headset-Universal-Earphones-With-Mic-3.5mm-i.51664353.4953339005,0,FALSE,FALSE,YS HS330 SAMSUNG S5830 Headset Universal Earphones With Mic 3.5mm,Mobiles & Gadgets,Portable Audio,Earphones,,,4.8,2K,15.5K,Favorite (695),₱28 - ₱57,₱28,51% OFF,TRUE,Free shipping with min order of ₱99,"Metro Manila, Metro Manila",₱0 - ₱45,No Brand,hellog.hp,26.4K,314,72%,within minutes,34 months ago,12.2K,"Metro Manila, Metro Manila",FALSE,FALSE,FALSE,"White,Black,SAMSUNG headset",FALSE,FALSE,5 Star (1.8K),4 Star (128),3 Star (77),2 Star (24),1 Star (32),With Comments (610),With Media (328),"Earphones with mic3.5mmFeatures:•Integrated microphone•Enhanced dual unit dynamic headphones•The ergonomic design, easy to wear.•Winding preventing earphone line•The enhanced built-in microphone•Inline smart remote and mic on para-amid reinforce cables•Sealed in ear canal design for enhanced blocking of outside noise•Ergonomic ear clips for optimal wearing comfort and secure fit•High frequency sound high resolution dynamic low-frequency sound & amp.•Each channel consists of two pronunciation unit (bass unit, the treb#COD #SAMSUNG #HEADSET  #S5830 Headset #Universal Headset #YS Headset #3.5mm #SAMSUNG Headset #headset #COD #SAMSUNG Headset #HEADSET #S5830 #HS330 #Headset #Headset 3.5mm #MI Headset #COD#Samsung Headset #Headset #S5830 #Hellog.hp #Headset #ys samsung headset #YS #SAMSUNG Headset #COD#Headset #HS5830 Headset #SAMSUNG Headset #YSHs330 Headset #SAMSUNG Universal #Headset #SAMSUNG #headset hs330 #headset hs330 #SAMSUNG Headset #Headset #SAMSUNG Headset"
https://shopee.ph/U19-Macaron-Color-3.5mm-HIFI-Headset-Over-Ear-1.2mm-Earphone-i.47444133.4830620022,0,FALSE,FALSE,U19 Macaron Color 3.5mm HIFI Headset Over Ear 1.2mm Earphone,Mobiles & Gadgets,Portable Audio,Earphones,,,4.8,19.1K,75.2K,Favorite (8.4K),₱120,₱48,60% OFF,FALSE,,"Metro Manila, Metro Manila",₱0,No Brand,missconnie.ph,131.3K,852,95%,within hours,35 months ago,216.2K,757168,TRUE,FALSE,FALSE,"White,Pink,Blue,Black,Yellow,Purple,Green,Gray",TRUE,TRUE,5 Star (16.9K),4 Star (1.2K),3 Star (582),2 Star (186),1 Star (278),With Comments (5K),With Media (3.4K),"Describe:Earphone style: wired earphone Material:PVCPlug diameter:3.5MMYour prompt: Quick start: POWER ON Suspended Suspend: Power Off State of the fast connection: to peel Quick connection: you device is connect Prompt disconnect: you device is disconnect Button function: lMicrophone with microphone Style; in ear  Color: blue, white, purple, pink, green and yellow,black,greyPackage includes:1* headset"
https://shopee.ph/U19-Macaron-Universal-Headset-with-In-Line-Multi-Function-ear-earphone-Recommend-For-Online-Class-i.17276695.3712358014,0,FALSE,FALSE,U19 Macaron Universal Headset with In-Line Multi-Function ear earphone Recommend For Online Class,Mobiles & Gadgets,Portable Audio,Earphones,,,4.9,5.4K,24.7K,Favorite (2.3K),0,₱8 - ₱38,0,FALSE,,"Metro Manila, Metro Manila",₱0,No Brand,junseven89,532.2K,267,75%,within hours,4 years ago,360.1K,"Metro Manila, Metro Manila",TRUE,FALSE,FALSE,"BLACK,WHITE,GREEN,SkyBlue,PINK,YELLOW,GREY,NavyBlue,ProtectiveBox",FALSE,FALSE,5 Star (5K),4 Star (193),3 Star (87),2 Star (44),1 Star (45),With Comments (1.2K),With Media (877),"                                         「THANK YOU FOR CHOOSING JUNSEVEN89」~ Please make sure of your order first. Double check your information and the order that you click, to see if the variation of the chosen items are all correct before you place an order to avoid cancellation. ~If you had any problems with your transaction, Please contact us prior to leaving negative feedback so that we have an opportunity to make it right.                                          ( YOUR SATISFACTION IS IMPORTANT TO US) ~Please no vulgar language, hate messages, or spam, we urge all users to treat each other with kindness and respect         PLEASE FOLLOW THE GUIDELINES HERE TO ENSURE SMOOTH TRANSACTION FOR EVERYONEPRODUCT NAME: U19 Macaron Universal Headset with In-Line Multi-Function Answer Call Button in-ear earphone*UNIVERSAL*MACARON COLOR*MATTE*WITH MICROPHONE*GOOD QUALITY#cod           "
https://shopee.ph/BAVIN-HX820-Universal-Earphone-3D-Stereo-Sound-3.5mm-Jack-for-Android-and-iPhone-6-6S-i.5095176.1405730190,0,FALSE,TRUE,BAVIN HX820 Universal Earphone 3D Stereo Sound 3.5mm Jack for Android and iPhone 6/6S,Mobiles & Gadgets,Portable Audio,Earphones,,,4.8,32K,81.7K,Favorite (10.4K),₱256,₱99,61% OFF,FALSE,,"Metro Manila, Metro Manila",₱0,Bavin,bavin.ph,169.3K,648,92%,within hours,5 years ago,105.8K,"Metro Manila, Metro Manila",FALSE,FALSE,TRUE,"White,Black",TRUE,TRUE,5 Star (25.1K),4 Star (2.1K),3 Star (735),2 Star (223),1 Star (350),With Comments (7.6K),With Media (5.1K),• High Quality Sounds• Round Cable• In-Line Controls and Microphone• Compatible with Tablet and Smartphone• Color Available: White and Black#bavinearphone #bavin #earphonebavin #bavinheadset #bavinheadphone #stereoearphone
https://shopee.ph/Wireless-Bluetooth-Headset-Macaron-Inpods-I12-Touch-Bluetooth-5.0-i.58188521.7303386832,0,FALSE,FALSE,Wireless Bluetooth Headset Macaron Inpods I12 Touch Bluetooth 5.0,Mobiles & Gadgets,Portable Audio,Earphones,,,4.5,17.8K,65.8K,Favorite (13.7K),₱300 - ₱599,₱45 - ₱175,85% OFF,FALSE,,"Metro Manila, Metro Manila",₱0 - ₱5,No Brand,trxph,255.3K,182,76%,within minutes,32 months ago,168.8K,"Metro Manila, Metro Manila",TRUE,FALSE,FALSE,"Black,White,Gray,Navy blue,Peach,Yellow,sky blue,Green,iphone cable",FALSE,FALSE,5 Star (13.6K),4 Star (1.5K),3 Star (940),2 Star (489),1 Star (1.1K),With Comments (6.8K),With Media (4.3K),"Please noted:The packing box send at random,thank you for your support.SpecificationProduct weight: 4-5g (single earphone).Working time: 1.5-3 hours.Standby time: 100/h for one ear and 60/h for both ears.Charging time: 1-1.5 hours.Single earphone battery capacity: 35mAh.Charger Box Betty: 300mAh.Wireless distance: 10m.Compatible mobile phones: headphones are compatible with Android, IOS, Microsoft, etc., 100% of mobile phones with Bluetooth Package Includes:2 x mini Bluetooth Headphones(left and right earphones)1 x Charging box1 x USB Charging Cable1 x User Manual #sport #earphone #headset #headphone #earbuds #i12 #in-ear #wireless #bluetooth"
https://shopee.ph/U19-Macaron-Color-3.5mm-HIFI-Headset-Over-Ear-1.2mm-Earphone-i.88458867.5815253148,0,FALSE,FALSE,U19 Macaron Color 3.5mm HIFI Headset Over Ear 1.2mm Earphone,Mobiles & Gadgets,Portable Audio,Earphones,,,4.7,6.5K,28.8K,Favorite (1.6K),₱250,₱40,84% OFF,FALSE,,"Metro Manila, Metro Manila",₱0 - ₱5,No Brand,ccl.ph,211.1K,317,69%,within minutes,26 months ago,160.2K,"Metro Manila, Metro Manila",TRUE,FALSE,FALSE,"Black,Gray,White,Dark Blue,Light Blue,Pink,Green,Yellow",TRUE,TRUE,5 Star (5.6K),4 Star (478),3 Star (241),2 Star (100),1 Star (138),With Comments (1.6K),With Media (1K),"💯 High Quality💯 Brand NewIntegrated microphoneEnhanced dual unit dynamic headphones The ergonomic designWinding preventing earphone lineThe enhanced built-in microphone🖌 FREE shipping fee with minimum order of P199🖌 Cash on Delivery (COD) is available       🖌 Order Today Ship ASAP    DELIVERY PERIOD:  🚚 2-4 days Metro Manila🚚 3-7 days Provincial  ⚠️ Please CHOOSE THE CORRECT variation so we can avoid mistakes.⚠️ If the item you received is defective, please contact us immediately. 💡 Please leave us a positive feedback with 5 STARS ⭐️ ⭐️ ⭐️ ⭐️ ⭐️ if you are satisfied with our product and service. Your feedback will be much appreciated.💡 Please contact us immediately before leaving any negative feedbacks or open a dispute on Shopee.#U19Headset #Headset #Stereo #Earphone #Wired #WiredHeadset #SmartPhone #Android #Portable #InEar #SportsHeadset #SportsEarphone #HighQuality #COD "
https://shopee.ph/(COD)-9-Colors-TWS-Bluetooth-Earphone-i12-inPodTouch-Airpod-Key-Wireless-Headphone-Earbuds-Sports-Headsets-For-iPhone-Xiaomi-Smart-i.297927116.6749029998,0,FALSE,FALSE,(COD) 9 Colors TWS Bluetooth Earphone i12 inPodTouch Airpod Key Wireless Headphone Earbuds Sports Headsets For iPhone Xiaomi Smart,Mobiles & Gadgets,Portable Audio,Earphones,,,4.8,3K,8.7K,Favorite (2.6K),₱688,₱159,77% OFF,TRUE,Free shipping with min order of ₱99,"Metro Manila, Metro Manila",₱0,No Brand,vinnova.ph,7.4K,35,81%,within hours,3 months ago,2.3K,74836,FALSE,FALSE,FALSE,"Yellow-i12,Dark Blue-i12,Black-i12,White-i12,Gray-i12,Blue-i12,Pink-i12,Green-i12,Red-i12,No box",FALSE,FALSE,5 Star (2.7K),4 Star (194),3 Star (73),2 Star (29),1 Star (42),With Comments (1.1K),With Media (749),"⭐Vinnova⭐—— Focus on 3C boutique productsNote：No Paper Retail box ! 【Product】: inPods 12⭐【Color】: 16 colors (white/pink/green/blue/black/yellow/gray/dark blue/red⭐【Specifications】: Wireless Bluetooth Headset⭐【Wear】: Use in-ear⭐【Working time】: 2~3 hours⭐【Applicable models】: Bluetooth device / cellphone                    Feature▷▶ Automatic pairing.▷▶HIFI sound quality, super high enjoyment▷▶ The power capacity will be displayed on your iPhone. The battery display is just a design that mimics Original Airpods. The numbers can only be used as a reference. It is not accurate.[Product List]:2* Bluetooth headset (left and right)1* charger box1* Lightning charger cable1* instruction manual✅If there is a problem with product quality, Please contact us as soon as you receive the package. We will do our best to solve problems for our customers.❌A negative review will not help solve the problem"
https://shopee.ph/i7s-TWS-Wireless-Earphones-Bluetooth-headphones-sport-Earbuds-Headset-With-Mic-Earpiece-For-Iphone-Huawei-Xiaomi-Samsung-i.160357275.2442099115,0,FALSE,FALSE,i7s TWS Wireless Earphones Bluetooth headphones sport Earbuds Headset With Mic Earpiece For Iphone Huawei Xiaomi Samsung,Mobiles & Gadgets,Portable Audio,Earphones,,,4.6,40.9K,137.2K,Favorite (16.9K),₱387,₱139,64% OFF,FALSE,,"Metro Manila, Metro Manila",₱0,No Brand,colossusmall.ph,56.7K,810,90%,within minutes,17 months ago,64.5K,341932,TRUE,TRUE,FALSE,"White,Black",FALSE,FALSE,5 Star (32.2K),4 Star (3.7K),3 Star (2.3K),2 Star (952),1 Star (1.4K),With Comments (13.5K),With Media (8.2K),"Features:1. listening to the song correct, support songs and call,2. remind call number, the last call back, all intelligent Chinese and English voice prompts, boot, pair, shut down the phone power will be low voice prompts;3. Power capacity will show on your Iphone, you can see the power situation anytime, do not worry about the electricity ,make your life without worry;4. One to two connections, can be connected to two mobile phones at the same time5. Bluetooth headset connected to the phone after the shutdown  , and then open the Bluetooth headset will connect back to the phone  automatically  , more convenient;6. Intelligent compatibility: support all Bluetooth mobile phone, tablet, notebook, singing it, QQ music, movies, etc., universal all mobile phone  Specification:1. Driver: 15mm2. Impedance: 32 OHM3. Bluetooth version: Bluetooth v5.0 + EDR4. Bluetooth use band: 2.4GHz5. Power level: CLASS II6. Output power: 30mW7. Bluetooth distance: 10 meters barrier8. Frequency response: 20-20000Hz9. Operating voltage range: 3.0V-4.2V10. Mic sensitivity: -42dB11. With A2DP / AVRCP high quality stereo audio transmission and remote control protocol12. Powerful noise de-noising circuit (active noise reduction)13. switch between Chinese and English (boot does not connect Bluetooth state, press the switch 2 times, hear the tone switch successfully)13. Talk time is about 4-5 hours14. music time about 4-5 hours15. Standby time is about 100 hours"
